date,NDVI,NDWI
01/05/2017,0.438,0.266
01/07/2017,0.147,0.302
01/08/2017,0.054,0.256
01/09/2017,0.338,0.348
01/10/2017,0.506,0.348
01/11/2017,0.345,0.39
01/12/2017,0.01,0.681
01/01/2018,0.486,0.479
01/02/2018,0.431,0.364
01/03/2018,0.267,0.431
01/04/2018,0.266,0.166
01/05/2018,0.412,0.219
01/06/2018,0.501,0.256
01/07/2018,0.335,0.32
01/08/2018,0.521,0.386
01/09/2018,0.529,0.464
01/10/2018,0.557,0.386
01/11/2018,0.495,0.378
01/01/2019,0.028,0.63
01/02/2019,0.068,0.668
01/03/2019,0.365,0.43
01/04/2019,0.45,0.25
01/05/2019,0.289,-0.23
01/06/2019,0.208,0.064
01/07/2019,0.382,0.083
01/08/2019,0.613,0.298
01/09/2019,0.633,0.375
01/10/2019,0.558,0.467
01/11/2019,0.081,0.711
01/12/2019,0.327,0.464
01/01/2020,0.329,0.457
01/02/2020,0.406,0.365
01/03/2020,0.408,0.456
01/04/2020,0.305,0.177
01/05/2020,0.35,0.114
01/06/2020,0.422,0.188
01/07/2020,0.544,0.348
01/08/2020,0.492,0.36
01/09/2020,0.179,0.455
01/10/2020,0.596,0.461
01/11/2020,0.421,0.444
01/12/2020,0.057,0.873
01/01/2021,0.074,0.638
01/02/2021,0.07,0.719
01/03/2021,0.337,0.267
01/04/2021,0.412,0.28
01/05/2021,0.423,0.331
01/07/2021,0.59,0.321
01/08/2021,0.177,0.43
01/09/2021,0.492,0.389
01/10/2021,0.527,0.367
01/11/2021,0.085,0.729
01/12/2021,0.281,0.509
01/01/2022,0.623,0.531
01/02/2022,0.061,0.771
01/03/2022,0.486,0.323
01/04/2022,0.352,0.236
01/05/2022,0.433,0.276
01/06/2022,0.485,0.325
01/07/2022,0.598,0.439
01/09/2022,0.647,0.537
01/10/2022,0.436,0.441
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
